time,Building 1,Building 2,Building 3,Building 4,Building 5,Building 6,Building 7,Building 8,Building 9,Building 10,Building 11,Building 12,Building 13,Building 14,Building 15,Building 16,Building 17,Building 18,Building 19,Building 20,Building 21,Building 22,Building 23,Building 24,Building 25,Building 26,Building 27,Building 28,Total,costData,Emissions,,GHI,Solar_Power,,,,Solar_Power_2,,"Solar Power (kW, 22 Panel)",
479,2.792923757,3.135602073,3.418109373,2.436115048,2.457408548,2.442880201,2.591379941,2.677935871,2.163011897,3.134082336,1.93660477,2.527510298,1.945957046,2.93528352,2.163306602,2.610666972,2.316538275,3.154947508,2.191437605,1.930414007,2.781841704,2.693066881,2.747247524,3.629236836,2.028319773,2.180184859,2.920612773,2.868732907,72.81135891,0.10388,0.613219,0.325726343,0,0,2.792923757,2.792923757,0.29012892,0,,0,
480,2.638368494,2.932158943,3.463370528,2.540945235,2.375895519,2.981160002,2.743889559,2.408656641,2.760905969,2.960944124,2.258247779,3.250074963,2.085681717,2.66270575,2.148395077,2.85357205,2.484167365,3.603085725,2.169150897,2.502774275,2.429103638,3.254817579,2.480316421,3.381523602,2.132205197,2.337098358,2.997304973,2.586833564,75.42335395,0.10388,0.555575,0.304592671,0,0,2.638368494,2.638368494,0.274073719,0,,0,
481,2.399017091,2.68133792,2.604139344,2.353166928,2.618041374,2.820203325,2.230818104,2.185951545,2.68666233,2.244054405,1.61831916,3.130127816,1.922668907,2.085051741,1.95930009,2.674567446,2.291028484,2.864166979,1.972099533,2.446690963,2.184506525,2.539036959,2.224640852,2.575497112,1.977221469,2.139868894,2.224841139,2.101943048,65.75496948,0.10388,0.557578,0.278537383,0,0,2.399017091,2.399017091,0.249209895,0,,0,
482,3.251662618,3.665853869,3.164126076,3.009214284,3.527352403,3.329662722,2.927445186,2.930058616,3.076957498,2.932402088,2.070731097,2.662402538,2.577828265,2.782054535,2.549626477,3.610064693,3.114569624,3.627474575,2.538826958,2.666766325,2.785403696,2.966648551,2.84612726,3.215953245,2.583373534,2.914002827,2.537303993,2.625093848,82.4889874,0.10388,0.556671,0.3808089,0,0,3.251662618,3.251662618,0.337782713,0,,0,
483,3.089186589,3.469888208,2.944624384,3.335294697,3.033342467,3.100635162,2.799611177,3.162352304,2.844109939,2.79972174,1.969520047,2.701060935,2.475687954,2.62907337,2.543901726,3.456402378,3.319256368,3.478800952,2.540849506,2.481619636,2.771747501,3.00959216,3.223089965,3.255662363,2.574355738,2.761450046,2.37385977,2.659898247,80.80459533,0.10388,0.554592,0.360451987,0,0,3.089186589,3.089186589,0.320904703,0,,0,
484,3.468553237,3.858565721,3.346242009,2.975644924,3.295979441,3.46566361,3.318756332,3.308578506,3.354299843,3.318002826,2.345266177,2.611145581,2.954585315,3.046899894,2.52272061,4.004444002,3.346367655,4.039412449,2.511789292,2.946045153,3.044706409,2.937227772,2.814547214,3.175059097,2.555940998,3.144364531,2.821984307,2.596091948,87.12888485,0.10388,0.656952,0.400827807,0,0,3.468553237,3.468553237,0.36031331,0,,0,
485,3.041761603,3.353520093,2.911808963,2.904453956,2.888773677,3.522323957,3.173749826,2.641162887,2.850928787,2.828573196,1.985136461,3.122036727,2.514958676,2.895644578,2.503524098,3.462239339,2.743778684,3.544728116,2.500791158,2.500972699,2.795868211,2.963512796,2.716148256,3.24943421,2.846779812,2.714962417,2.4041877,2.670300148,80.25206103,0.10388,0.678611,0.348363667,0,0,3.041761603,3.041761603,0.315978195,0,,0,
486,3.400196917,4.132447529,3.232077509,2.99315129,3.55859746,3.845299665,4.079387631,3.248269759,3.087540303,3.06741878,2.572541726,2.993938953,3.178216297,2.841272149,2.550637295,4.102060774,3.370763749,4.173246178,2.539538916,2.697356065,2.747116589,2.970864596,2.852138681,3.193934863,2.584279798,3.021032495,2.596587665,2.624609403,88.25452303,0.10388,0.686133,0.429278649,0,0,3.400196917,3.400196917,0.353212456,0,,0,
487,3.401346084,3.968814595,3.32564317,3.421901221,3.43569923,3.140036112,2.842305099,2.911440545,2.819974081,2.77426986,2.471218163,2.723073436,3.442582271,2.609603087,2.908110439,3.953652755,3.090731759,4.026757369,2.578625795,2.458773088,3.13055919,3.01908652,2.881076894,3.244965891,2.813581053,2.731495753,2.358811436,2.933893437,85.41802833,0.10388,0.694752,0.41228046,0,0,3.401346084,3.401346084,0.353331831,0,,0,
488,3.483876894,4.349939708,3.867662197,2.969167022,3.290258089,3.462082273,3.676548439,3.434024667,3.229880271,3.178071232,2.216153324,2.595926428,3.060416072,3.020327225,2.702781347,4.049272603,3.832641866,4.380547582,2.810801848,2.840954081,2.715245962,2.941677162,3.290888272,3.707433072,3.025223713,3.585293127,2.72108895,3.046184749,91.48436818,0.10388,0.599082,0.451871737,12,0.0765168,3.407360094,3.407360094,0.353956567,0.020136,,0.0885984,
